"","Bird.Call","julian_day","min_bin","n"
"637","Eastern Wood-Pewee",155,3,0
"638","Acadian Flycatcher",155,3,24
"639","Yellow-throated Vireo",155,3,2
"640","Tufted Titmouse",155,3,0
"641","Summer Tanager",155,3,189
"642","Scarlet Tanager",155,3,20
"643","Eastern Wood-Pewee",156,3,0
"644","Acadian Flycatcher",156,3,36
"645","Yellow-throated Vireo",156,3,7
"646","Tufted Titmouse",156,3,7
"647","Summer Tanager",156,3,0
"648","Scarlet Tanager",156,3,12
"649","Eastern Wood-Pewee",157,3,0
"650","Acadian Flycatcher",157,3,58
"651","Yellow-throated Vireo",157,3,3
"652","Tufted Titmouse",157,3,1
"653","Summer Tanager",157,3,3
"654","Scarlet Tanager",157,3,2
"655","Eastern Wood-Pewee",158,3,0
"656","Acadian Flycatcher",158,3,78
"657","Yellow-throated Vireo",158,3,0
"658","Tufted Titmouse",158,3,0
"659","Summer Tanager",158,3,0
"660","Scarlet Tanager",158,3,1
"661","Eastern Wood-Pewee",159,3,0
"662","Acadian Flycatcher",159,3,59
"663","Yellow-throated Vireo",159,3,0
"664","Tufted Titmouse",159,3,0
"665","Summer Tanager",159,3,206
"666","Scarlet Tanager",159,3,2
"667","Eastern Wood-Pewee",160,3,1
"668","Acadian Flycatcher",160,3,1
"669","Yellow-throated Vireo",160,3,0
"670","Tufted Titmouse",160,3,0
"671","Summer Tanager",160,3,28
"672","Scarlet Tanager",160,3,0
"673","Eastern Wood-Pewee",161,3,0
"674","Acadian Flycatcher",161,3,10
"675","Yellow-throated Vireo",161,3,0
"676","Tufted Titmouse",161,3,0
"677","Summer Tanager",161,3,5
"678","Scarlet Tanager",161,3,12
"679","Eastern Wood-Pewee",162,3,0
"680","Acadian Flycatcher",162,3,6
"681","Yellow-throated Vireo",162,3,0
"682","Tufted Titmouse",162,3,0
"683","Summer Tanager",162,3,52
"684","Scarlet Tanager",162,3,10
"685","Eastern Wood-Pewee",163,3,0
"686","Acadian Flycatcher",163,3,2
"687","Yellow-throated Vireo",163,3,0
"688","Tufted Titmouse",163,3,0
"689","Summer Tanager",163,3,4
"690","Scarlet Tanager",163,3,0
"691","Eastern Wood-Pewee",164,3,0
"692","Acadian Flycatcher",164,3,2
"693","Yellow-throated Vireo",164,3,9
"694","Tufted Titmouse",164,3,0
"695","Summer Tanager",164,3,101
"696","Scarlet Tanager",164,3,16
"697","Eastern Wood-Pewee",165,3,0
"698","Acadian Flycatcher",165,3,5
"699","Yellow-throated Vireo",165,3,25
"700","Tufted Titmouse",165,3,0
"701","Summer Tanager",165,3,0
"702","Scarlet Tanager",165,3,0
"703","Eastern Wood-Pewee",166,3,10
"704","Acadian Flycatcher",166,3,9
"705","Yellow-throated Vireo",166,3,32
"706","Tufted Titmouse",166,3,0
